POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,"Faf Du Plessis
RCB",14,14,1,730,84,56.15,475,153.68,0,8,60,36
2,"Shubman Gill
GT",14,14,2,680,104*,56.67,446,152.46,2,4,67,22
3,"Virat Kohli
RCB",14,14,2,639,101*,53.25,457,139.82,2,6,65,16
4,"Yashasvi Jaiswal
RR",14,14,1,625,124,48.08,382,163.61,1,5,82,26
5,"Devon Conway
CSK",14,13,2,585,92*,53.18,422,138.62,0,6,69,16
6,"David Warner
DC",14,14,0,516,86,36.86,392,131.63,0,6,69,10
7,"Suryakumar Yadav
MI",14,14,2,511,103*,42.58,276,185.14,1,4,56,24
8,"Ruturaj Gaikwad
CSK",14,13,1,504,92,42.00,340,148.23,0,3,36,28
9,"Rinku Singh
KKR",14,14,6,474,67*,59.25,317,149.52,0,4,31,29
10,"Heinrich Klaasen
SRH",12,11,2,448,104,49.78,253,177.07,1,2,32,25
11,"Ishan Kishan
MI",14,14,0,439,75,31.36,306,143.46,0,3,51,18
12,"Nitish Rana
KKR",14,14,1,413,75,31.77,293,140.95,0,3,39,20
13,"Venkatesh Iyer
KKR",14,14,0,404,104,28.86,277,145.84,1,2,32,21
14,"Glenn Maxwell
RCB",14,14,2,400,77,33.33,218,183.48,0,5,29,31
15,"Jos Buttler
RR",14,14,0,392,95,28.00,282,139.00,0,4,42,14
16,"Shivam Dube
CSK",14,12,2,385,52,38.50,240,160.41,0,3,12,33
17,"Cameron Green
MI",14,14,7,381,100*,54.43,239,159.41,1,2,32,19
18,"Shikhar Dhawan
PBKS",11,11,2,373,99*,41.44,261,142.91,0,3,49,12
19,"Marcus Stoinis
LSG",14,14,2,368,89*,30.67,245,150.20,0,3,23,26
20,"Sanju Samson
RR",14,14,2,362,66*,30.17,236,153.38,0,3,25,24
21,"Kyle Mayers
LSG",12,12,0,361,73,30.08,250,144.40,0,4,35,22
22,"Nicholas Pooran
LSG",14,14,3,358,62,32.55,206,173.78,0,2,26,26
23,"Simran Singh
PBKS",14,14,0,358,103,25.57,238,150.42,1,1,38,19
24,"Rohit Sharma
MI",14,14,0,313,65,22.36,233,134.33,0,2,33,16
25,"Jitesh Sharma
PBKS",14,14,1,309,49*,23.77,198,156.06,0,0,22,21
26,"Shimron Hetmyer
RR",14,13,5,300,56*,37.50,197,152.28,0,1,12,23
27,"Hardik Pandya
GT",13,12,2,289,66,28.90,221,130.76,0,2,23,11
28,"Vijay Shankar
GT",11,9,2,287,63*,41.00,178,161.23,0,3,27,14
29,"Wriddhiman Saha
GT",14,14,1,287,81,22.08,221,129.86,0,1,37,7
30,"Jason Roy
KKR",8,8,0,285,61,35.63,188,151.59,0,2,36,12
31,"Axar Patel
DC",14,13,3,283,54,28.30,203,139.40,0,1,21,15
32,"Ajinkya Rahane
CSK",12,9,1,282,71*,35.25,166,169.87,0,2,22,13
33,"Liam Livingstone
PBKS",9,9,1,279,94,34.88,171,163.15,0,2,20,19
34,"Sam Curran
PBKS",14,13,3,276,55,27.60,203,135.96,0,1,20,13
35,"Tilak Varma
MI",9,9,3,274,84*,45.67,173,158.38,0,1,21,18
36,"K L Rahul
LSG",9,9,1,274,74,34.25,242,113.22,0,2,28,4
37,"Rahul Tripathi
SRH",13,13,1,273,74*,22.75,213,128.16,0,1,29,10
38,"Mayank Agarwal
SRH",10,10,0,270,83,27.00,210,128.57,0,1,29,6
39,"Devdutt Padikkal
RR",11,11,1,261,52,26.10,200,130.50,0,2,31,6
40,"David Miller
GT",13,12,5,255,46,36.43,172,148.25,0,0,18,13
41,"Aiden Markram
SRH",13,13,2,248,50,22.55,197,125.88,0,1,18,8
42,"Ayush Badoni
LSG",14,11,2,237,59*,26.33,165,143.63,0,1,13,12
43,"Andre Russell
KKR",14,14,3,227,42,20.64,156,145.51,0,0,13,18
44,"Rahmanullah Gurbaz
KKR",11,11,0,227,81,20.64,170,133.52,0,2,17,15
45,"Abhishek Sharma
SRH",11,11,0,226,67,20.55,157,143.94,0,2,28,6
46,"Sai Sudharsan
GT",6,6,1,223,62*,44.60,178,125.28,0,2,20,5
47,"Phil Salt
DC",9,9,1,218,87,27.25,133,163.90,0,2,24,10
48,"Tim David
MI",14,13,6,216,45*,30.86,130,166.15,0,0,11,15
49,"Nehal Wadera
MI",12,8,1,214,64,30.57,151,141.72,0,2,20,10
50,"Rilee Rossouw
DC",9,9,2,209,82*,29.86,141,148.22,0,1,17,11
51,"Harry Brook
SRH",11,11,2,190,100*,21.11,154,123.37,1,0,23,4
52,"Atharva Taide
PBKS",7,7,0,186,66,26.57,129,144.18,0,2,20,6
53,"Krunal Pandya
LSG",14,13,4,180,49*,20.00,154,116.88,0,0,14,6
54,"Abdul Samad
SRH",9,8,4,169,37*,42.25,128,132.03,0,0,10,11
55,"Manish Pandey
DC",10,9,0,160,50,17.78,146,109.58,0,1,15,3
56,"Shahrukh Khan
PBKS",14,13,6,156,41*,22.29,94,165.95,0,0,13,9
57,"Ravindra Jadeja
CSK",14,10,3,153,25*,21.86,111,137.83,0,0,8,8
58,"Dhruv Jurel
RR",13,11,4,152,34*,21.71,88,172.72,0,0,11,9
59,"Quinton De Kock
LSG",4,4,0,143,70,35.75,102,140.19,0,1,10,8
60,"Dinesh Karthik
RCB",13,13,1,140,30,11.67,104,134.61,0,0,13,5
61,"Sikandar Raza
PBKS",7,7,2,139,57,27.80,98,141.83,0,1,10,6
62,"Mahipal Lomror
RCB",12,10,2,135,54*,16.88,97,139.17,0,1,9,8
63,"Mitchell Marsh
DC",9,9,0,128,63,14.22,97,131.95,0,1,11,7
64,"Ambati Rayudu
CSK",14,10,2,122,27*,15.25,96,127.08,0,0,8,6
65,"Matthew Short
PBKS",6,6,0,117,36,19.50,92,127.17,0,0,15,4
66,"Moeen Ali
CSK",13,9,2,115,23,16.43,87,132.18,0,0,12,5
67,"Abhinav Manohar
GT",9,6,0,114,42,19.00,83,137.34,0,0,6,7
68,"Shardul Thakur
KKR",11,10,2,113,68,14.13,70,161.42,0,1,13,4
69,"Aman Khan
DC",11,9,1,110,51,13.75,101,108.91,0,1,7,6
70,"Prithvi Shaw
DC",8,8,0,106,54,13.25,85,124.70,0,1,16,1
71,"Anmolpreet Singh
SRH",4,4,0,105,36,26.25,82,128.04,0,0,15,2
72,"MS Dhoni
CSK",14,10,8,103,32*,51.50,54,190.74,0,0,3,10
73,"Rashid Khan
GT",14,6,4,95,79*,47.50,40,237.50,0,1,4,11
74,"Anuj Rawat
RCB",9,7,4,91,29*,30.33,71,128.16,0,0,6,4
75,"Prerak Mankad
LSG",4,4,2,90,64*,45.00,66,136.36,0,1,12,2
76,"Jagadeesan Narayan
KKR",6,6,0,89,36,14.83,81,109.87,0,0,14,1
77,"Rahul Tewatia
GT",14,9,6,84,20*,28.00,52,161.53,0,0,3,7
78,"Riyan Parag
RR",7,7,1,78,20,13.00,66,118.18,0,0,4,5
79,"Harpreet Bhatia
PBKS",3,3,0,77,41,25.67,59,130.50,0,0,8,3
80,"Bhanuka Rajapaksa
PBKS",4,4,1,71,50,23.67,62,114.51,0,1,6,2
81,"Vivrant Sharma
SRH",3,1,0,69,69,69.00,47,146.80,0,1,9,2
82,"Deepak Hooda
LSG",11,11,1,69,17,6.90,77,89.61,0,0,3,1
83,"Ravichandran Ashwin
RR",13,10,4,67,30,11.17,51,131.37,0,0,5,3
84,"Lalit Yadav
DC",6,6,1,66,38,13.20,59,111.86,0,0,8,0
85,"Washington Sundar
SRH",7,5,1,60,24*,15.00,60,100.00,0,0,6,0
86,"Krishnappa Gowtham
LSG",6,6,3,59,23,19.67,34,173.52,0,0,2,5
87,"Michael Bracewell
RCB",5,4,2,58,26,29.00,47,123.40,0,0,6,1
88,"Sarfaraz Khan
DC",4,4,0,53,30,13.25,62,85.48,0,0,4,1
89,"Harpreet Brar
PBKS",13,8,2,52,17*,8.67,41,126.82,0,0,5,2
90,"Ripal Patel
DC",5,4,1,49,23,16.33,43,113.95,0,0,3,1
91,"Shahbaz Ahmed
RCB",10,6,2,42,20*,10.50,39,107.69,0,0,3,1
92,"Bhuvneshwar Kumar
SRH",14,6,3,42,27,14.00,47,89.36,0,0,4,0
93,"Glenn Phillips
SRH",5,5,0,39,25,7.80,22,177.27,0,0,2,4
94,"Marco Jansen
SRH",8,6,3,39,17*,13.00,43,90.69,0,0,4,0
95,"Anrich Nortje
DC",10,7,4,37,23*,12.33,29,127.58,0,0,6,0
96,"Suyash S Prabhudessai
RCB",5,4,0,35,19,8.75,29,120.68,0,0,1,2
97,"David Willey
RCB",4,3,3,35,20*,-,32,109.37,0,0,4,0
98,"Wanindu Hasaranga
RCB",8,5,3,33,12*,16.50,28,117.85,0,0,3,0
99,"Abishek Porel
DC",4,4,0,33,20,8.25,31,106.45,0,0,1,2
100,"Vishnu Vinod
MI",2,2,0,32,30,16.00,24,133.33,0,0,2,2
101,"Kuldeep Yadav
DC",14,10,8,31,10*,15.50,48,64.58,0,0,2,0
102,"Piyush Chawla
MI",14,3,2,25,18,25.00,20,125.00,0,0,1,1
103,"Tristan Stubbs
MI",2,2,0,25,20,12.50,31,80.64,0,0,2,0
104,"Hrithik Shokeen
MI",7,2,1,23,18*,23.00,16,143.75,0,0,4,0
105,"Anukul Roy
KKR",4,4,2,23,13*,11.50,19,121.05,0,0,3,0
106,"Adil Rashid
SRH",2,2,0,22,18,11.00,16,137.50,0,0,2,1
107,"Priyam Garg
DC",2,2,0,22,12,11.00,23,95.65,0,0,1,0
108,"David Wiese
KKR",3,3,2,21,12*,21.00,11,190.90,0,0,0,3
109,"Mayank Markande
SRH",10,3,3,21,18*,-,13,161.53,0,0,2,1
110,"Sunil Narine
KKR",14,10,3,21,7*,3.00,25,84.00,0,0,2,1
111,"Rishi Dhawan
PBKS",6,3,1,20,19,10.00,12,166.66,0,0,1,1
112,"Umran Malik
SRH",8,2,1,19,19*,19.00,8,237.50,0,0,1,2
113,"Umesh Yadav
KKR",8,5,3,19,6*,9.50,18,105.55,0,0,1,0
114,"Amit Mishra
LSG",7,1,0,19,19,19.00,30,63.33,0,0,2,0
115,"Arshad Khan
MI",6,3,1,18,15*,9.00,15,120.00,0,0,0,1
116,"Akash Deep
RCB",2,1,0,17,17,17.00,8,212.50,0,0,2,1
117,"Ravi Bishnoi
LSG",14,6,4,17,5,8.50,21,80.95,0,0,1,0
118,"Akeal Hosein
SRH",1,1,1,16,16*,-,10,160.00,0,0,1,1
119,"Trent Boult
RR",10,4,3,16,15,16.00,14,114.28,0,0,1,1
120,"Praveen Dubey
DC",1,1,0,16,16,16.00,20,80.00,0,0,2,0
121,"Yash Dhull
DC",4,3,0,16,13,5.33,23,69.56,0,0,1,0
122,"Ben Stokes
CSK",2,2,0,15,8,7.50,14,107.14,0,0,2,0
123,"Naveen-ul-Haq
LSG",7,2,1,15,13,15.00,16,93.75,0,0,2,0
124,"Mandeep Singh
KKR",3,3,0,14,12,4.67,16,87.50,0,0,0,1
125,"Arjun Tendulkar
MI",4,1,0,13,13,13.00,9,144.44,0,0,0,1
126,"Vyshak Vijaykumar
RCB",7,2,1,13,13*,13.00,9,144.44,0,0,0,1
127,"Kedar Jadhav
RCB",2,1,1,12,12*,-,10,120.00,0,0,1,0
128,"Jason Holder
RR",8,3,1,12,11,6.00,11,109.09,0,0,0,1
129,"Karan Sharma
LSG",2,2,0,12,9,6.00,21,57.14,0,0,0,0
130,"Mark Wood
LSG",4,2,1,11,10*,11.00,5,220.00,0,0,1,1
131,"Sanvir Singh
SRH",2,2,1,11,7,11.00,9,122.22,0,0,1,1
132,"Manan Vohra
LSG",1,1,0,10,10,10.00,11,90.90,0,0,1,0
133,"Joe Root
RR",3,1,0,10,10,10.00,15,66.66,0,0,1,0
134,"Adam Zampa
RR",6,3,0,10,7,3.33,16,62.50,0,0,0,0
135,"Jaydev Unadkat
LSG",3,1,0,9,9,9.00,7,128.57,0,0,1,0
136,"Dasun Shanaka
GT",2,2,1,9,9*,9.00,10,90.00,0,0,1,0
137,"Mukesh Kumar
DC",10,3,3,7,6*,-,9,77.77,0,0,0,0
138,"Rovman Powell
DC",3,3,0,7,4,2.33,9,77.77,0,0,1,0
139,"Alzarri Joseph
GT",7,2,2,7,7*,-,12,58.33,0,0,1,0
140,"Harshal Patel
RCB",13,2,0,6,6,3.00,6,100.00,0,0,0,1
141,"Liton Das
KKR",1,1,0,4,4,4.00,4,100.00,0,0,1,0
142,"Jofra Archer
MI",5,2,2,4,3*,-,4,100.00,0,0,0,0
143,"Chetan Sakariya
DC",2,2,1,4,4,4.00,6,66.66,0,0,1,0
144,"Vaibhav Arora
KKR",5,2,2,3,2*,-,2,150.00,0,0,0,0
145,"Jason Behrendorff
MI",10,1,1,3,3*,-,4,75.00,0,0,0,0
146,"Karn Sharma
RCB",7,2,0,3,2,1.50,5,60.00,0,0,0,0
147,"Arshdeep Singh
PBKS",14,2,2,2,2*,-,2,100.00,0,0,0,0
148,"Mitchell Santner
CSK",3,2,2,2,1*,-,4,50.00,0,0,0,0
149,"Swapnil Singh
LSG",2,1,1,2,2*,-,4,50.00,0,0,0,0
150,"Wayne Parnell
RCB",7,1,0,2,2,2.00,5,40.00,0,0,0,0
151,"Sandeep Sharma
RR",12,2,2,2,2*,-,6,33.33,0,0,0,0
152,"Mustafizur Rahman
DC",2,1,1,1,1*,-,1,100.00,0,0,0,0
153,"Ishant Sharma
DC",8,1,1,1,1*,-,1,100.00,0,0,0,0
154,"Abdul Basith
RR",1,1,1,1,1*,-,1,100.00,0,0,0,0
155,"Deepak Chahar
CSK",8,1,1,1,1*,-,2,50.00,0,0,0,0
156,"Mohit Rathee
PBKS",1,1,1,1,1*,-,2,50.00,0,0,0,0
157,"Josh Hazlewood
RCB",3,1,1,1,1*,-,2,50.00,0,0,0,0
158,"Mohammed Siraj
RCB",14,2,1,1,1*,1.00,2,50.00,0,0,0,0
159,"Yudhvir Singh
LSG",3,2,0,1,1,0.50,2,50.00,0,0,0,0
160,"Noor Ahmad
GT",10,2,0,1,1,0.50,4,25.00,0,0,0,0
161,"Fazalhaq Farooqi
SRH",4,1,1,1,1*,-,5,20.00,0,0,0,0
162,"Nathan Ellis
PBKS",10,2,0,1,1,0.50,7,14.28,0,0,0,0
163,"Varun Chakaravarthy
KKR",14,2,1,1,1,1.00,9,11.11,0,0,0,0
